"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","402","3. Нужны все обязательные поля","","Tue Jul 15 11:00:55 CEST 2025","passed","Tue Jul 15 11:00:56 CEST 2025","","CreateCourierTest","CreateCourierTest","testAllRequiredFields"
"","963","Неправильный пароль","","Tue Jul 15 11:02:07 CEST 2025","passed","Tue Jul 15 11:02:08 CEST 2025","","LoginCourierTest","LoginCourierTest","wrongPassword"
"","409","createOrderWithColors(List) Цвет: [BLACK, GREY]","","Tue Jul 15 11:01:03 CEST 2025","passed","Tue Jul 15 11:01:03 CEST 2025","","CreateOrderTest","CreateOrderTest","createOrderWithColors"
"","60863","Нет одного из обязательных полей","","Tue Jul 15 11:01:04 CEST 2025","failed","Tue Jul 15 11:02:04 CEST 2025","","LoginCourierTest","LoginCourierTest","missingFields"
"","442","createOrderWithColors(List) Цвет: []","","Tue Jul 15 11:01:03 CEST 2025","passed","Tue Jul 15 11:01:04 CEST 2025","","CreateOrderTest","CreateOrderTest","createOrderWithColors"
"","821","Пользователь не существует","","Tue Jul 15 11:02:06 CEST 2025","passed","Tue Jul 15 11:02:07 CEST 2025","","LoginCourierTest","LoginCourierTest","userDoesNotExist"
"","1324","Курьер может авторизоваться","","Tue Jul 15 11:02:04 CEST 2025","passed","Tue Jul 15 11:02:06 CEST 2025","","LoginCourierTest","LoginCourierTest","courierCanLogin"
"","410","4. Если нет одного из обязательных полей — ошибка","","Tue Jul 15 11:00:56 CEST 2025","passed","Tue Jul 15 11:00:56 CEST 2025","","CreateCourierTest","CreateCourierTest","testMissingField"
"","3072","1. Курьера можно создать","","Tue Jul 15 11:00:50 CEST 2025","passed","Tue Jul 15 11:00:53 CEST 2025","","CreateCourierTest","CreateCourierTest","testCourierCanBeCreated"
"","1749","2. Нельзя создать двух одинаковых курьеров","","Tue Jul 15 11:00:53 CEST 2025","passed","Tue Jul 15 11:00:55 CEST 2025","","CreateCourierTest","CreateCourierTest","testDuplicateCourierNotAllowed"
"","443","createOrderWithColors(List) Цвет: [GREY]","","Tue Jul 15 11:01:02 CEST 2025","passed","Tue Jul 15 11:01:03 CEST 2025","","CreateOrderTest","CreateOrderTest","createOrderWithColors"
"","568","createOrderWithColors(List) Цвет: [BLACK]","","Tue Jul 15 11:01:02 CEST 2025","passed","Tue Jul 15 11:01:02 CEST 2025","","CreateOrderTest","CreateOrderTest","createOrderWithColors"
"","1784","5. Если логин уже занят — ошибка","","Tue Jul 15 11:00:56 CEST 2025","passed","Tue Jul 15 11:00:58 CEST 2025","","CreateCourierTest","CreateCourierTest","testLoginAlreadyUsed"
"","3825","getOrdersList()","","Tue Jul 15 11:00:58 CEST 2025","passed","Tue Jul 15 11:01:02 CEST 2025","","GetOrdersListTest","GetOrdersListTest","getOrdersList"
